-44.058251,-19.945982,Radar Fixo - 30 kmh@30
-54.629503,-20.497509,Radar Fixo - 30 kmh@30
-54.646202,-20.496151,Radar Fixo - 30 kmh@30
-44.091283,-19.908390,Radar Fixo - 30 kmh@30
-54.594010,-20.437418,Radar Fixo - 30 kmh@30
-44.043307,-19.960005,Radar Fixo - 30 kmh@30
-54.638488,-20.458386,Radar Fixo - 30 kmh@30
-44.045034,-19.960222,Radar Fixo - 30 kmh@30
-54.580523,-20.480856,Radar Fixo - 30 kmh@30
-54.616250,-20.437109,Radar Fixo - 30 kmh@30
-46.521991,-23.690235,Radar Fixo - 30 kmh@30
-54.796476,-22.224920,Radar Fixo - 30 kmh@30
-54.796469,-22.225053,Radar Fixo - 30 kmh@30
-54.816110,-22.198853,Radar Fixo - 30 kmh@30
-44.047347,-19.948011,Radar Fixo - 30 kmh@30
-46.670774,-23.756021,Radar Fixo - 30 kmh@30
-46.549897,-23.120720,Radar Fixo - 30 kmh@30
-44.021044,-19.799916,Radar Fixo - 30 kmh@30
-46.499591,-23.635544,Radar Fixo - 30 kmh@30
-54.558820,-20.459200,Radar Fixo - 30 kmh@30
-54.557264,-20.451484,Radar Fixo - 30 kmh@30
-54.560427,-20.440826,Radar Fixo - 30 kmh@30
-54.559078,-20.442693,Radar Fixo - 30 kmh@30
-54.831693,-22.223864,Radar Fixo - 30 kmh@30
-54.831866,-22.223620,Radar Fixo - 30 kmh@30
-54.835367,-22.226123,Radar Fixo - 30 kmh@30
-54.795198,-22.219389,Radar Fixo - 30 kmh@30
-54.801919,-22.220092,Radar Fixo - 30 kmh@30
-54.756314,-22.221858,Radar Fixo - 30 kmh@30
-54.780281,-22.223220,Radar Fixo - 30 kmh@30
-54.780258,-22.223331,Radar Fixo - 30 kmh@30
-46.801232,-23.675005,Radar Fixo - 30 kmh@30
-46.801095,-23.674917,Radar Fixo - 30 kmh@30
-54.555324,-20.444868,Radar Fixo - 30 kmh@30
-54.553355,-20.444157,Radar Fixo - 30 kmh@30
-54.800533,-22.241695,Radar Fixo - 30 kmh@30
-54.810523,-22.208041,Radar Fixo - 30 kmh@30
-44.085286,-19.913114,Radar Fixo - 30 kmh@30
-54.814781,-22.204552,Radar Fixo - 30 kmh@30
-54.845203,-22.224410,Radar Fixo - 30 kmh@30
-44.021542,-19.800110,Radar Fixo - 30 kmh@30
-46.364075,-23.417301,Radar Fixo - 30 kmh@30
-55.746525,-22.485422,Radar Fixo - 30 kmh@30
-55.745158,-22.508533,Radar Fixo - 30 kmh@30
-55.743159,-22.511672,Radar Fixo - 30 kmh@30
-55.735652,-22.527329,Radar Fixo - 30 kmh@30
-55.735791,-22.527277,Radar Fixo - 30 kmh@30
-55.790592,-20.493224,Radar Fixo - 30 kmh@30
-54.810825,-22.218872,Radar Fixo - 30 kmh@30
-49.754945,-21.672168,Radar Fixo - 30 kmh@30
-48.388852,-1.354075,Radar Fixo - 30 kmh@30
